pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category
2026-04-01,Perceived Teacher Support and Student Motivation in Math and Science,AERA 2026,Conference presentation at AERA 2026,"Li, H. (2026). Perceived teacher support and student motivation in math and science: The moderating role of school type and socioeconomic status. Presented at AERA 2026, Los Angeles, CA.",aera-2026-teacher-support,,,conferences
2026-04-01,Gendered STEM Career Aspirations and Tracking Effects,AERA 2026,Conference presentation at AERA 2026,"Li, H. (2026). Gendered STEM career aspirations and tracking effects: Cross-national insights from PISA 2022 Germany and U.S. Presented at AERA 2026, Los Angeles, CA.",aera-2026-stem-aspirations,,,conferences
2026-02-01,Gendered Aspirations and Structural Tracking,CIES 2026,Conference presentation at CIES 2026,"Li, H. (2026). Gendered aspirations and structural tracking: Comparative analysis of girls' STEM career expectations in the U.S. and Germany using PISA 2022. Presented at CIES 2026, San Francisco, CA.",cies-2026-gendered-aspirations,,,conferences
2026-01-01,English Learners in U.S. Career and Technical Education,EERA 2026,Conference presentation,"Li, H. (2026). English learners in U.S. career and technical education: Participation, concentration, and credential attainment. Presented at EERA 2026, Tampere, Finland.",eera-2026-el-cte,,,conferences
2026-01-01,Multilingual Early Childhood Collections in Public Libraries,Children's Literature Association 2026,Conference presentation,"Li, H. (2026). Multilingual early childhood collections in public libraries: Availability and circulation patterns in the Columbus Metropolitan Library System. Presented at the Children's Literature Association, Pittsburgh, PA.",chla-2026-multilingual-collections,,,conferences
2026-01-01,English Learners in Career and Technical Education,Working Paper,Journal article in progress,"Li, H. (2026). English learners in career and technical education: Participation, concentration, and credential attainment. Working paper.",el-cte-working-paper,,,working
2026-01-01,Children's Literature Association BIPOC Scholar Award,Children's Literature Association,Award,"Children's Literature Association BIPOC Scholar Award, 2026.",chla-bipoc-scholar-award,,,grants
2025-01-01,EHE Graduate Travel Grant,The Ohio State University,Graduate travel grant,"EHE Graduate Travel Grant, The Ohio State University, 2025.",ehe-travel-grant,,,grants
2024-01-01,AEFP Pre-Doctoral Diversity Fellows Program,Association for Education Finance and Policy,Fellowship,"Association for Education Finance and Policy Pre-Doctoral Diversity Fellows Program, 2024.",aefp-predoctoral-diversity-fellowship,,,grants
2023-03-01,GAPSA Spring Professional Student Grant Award,University of Pennsylvania,Professional student grant,"GAPSA Spring 2023 Professional Student Grant Award, University of Pennsylvania.",gapsa-spring-professional-student-grant,,,grants
2023-06-01,Summer Internship Scholarship,University of Pennsylvania,Summer internship scholarship,"Summer Internship Scholarship, University of Pennsylvania, 2023.",summer-internship-scholarship,,,grants
2022-01-01,Outstanding Student Leader Scholarship,Central University of Finance and Economics,Student leadership award,"Outstanding Student Leader Scholarship, Central University of Finance and Economics.",outstanding-student-leader-scholarship,,,grants
